{'path': '786.jpg', 'num': 786, 'avg': (0.4072020398073751, 0.3529040146691814, 0.21966472949854127), 'mode_bucket': ((7, 4), 40452), 'avg_bucket': (5, 5)}
{'path': '1502.jpg', 'num': 1502, 'avg': (0.5919652110015341, 0.6807470363465911, 0.448440106293435), 'mode_bucket': ((7, 8), 198141), 'avg_bucket': (8, 9)}
{'path': '1682.jpg', 'num': 1682, 'avg': (0.011182679976668422, 0.012535966683263828, 0.007147910922181301), 'mode_bucket': ((0, 0), 719782), 'avg_bucket': (1, 1)}
{'path': '278.jpg', 'num': 278, 'avg': (0.651826758669708, 0.24503565466722851, 0.5941021422676211), 'mode_bucket': ((8, 3), 147868), 'avg_bucket': (8, 3)}
{'path': '402.jpg', 'num': 402, 'avg': (0.23617693045229235, 0.1738129183340895, 0.05075986243054466), 'mode_bucket': ((0, 0), 322805), 'avg_bucket': (3, 3)}
{'path': '1398.jpg', 'num': 1398, 'avg': (0.12083898670655586, 0.11268891323608247, 0.030325334669482118), 'mode_bucket': ((0, 0), 612828), 'avg_bucket': (2, 2)}
{'path': '830.jpg', 'num': 830, 'avg': (0.314697429954504, 0.39687230731198253, 0.1582963718264038), 'mode_bucket': ((2, 3), 66071), 'avg_bucket': (4, 5)}
{'path': '1166.jpg', 'num': 1166, 'avg': (0.30125754330631455, 0.6374666807545809, 0.40703323397492847), 'mode_bucket': ((1, 11), 202839), 'avg_bucket': (4, 8)}
{'path': '1138.jpg', 'num': 1138, 'avg': (0.5471338959017499, 0.5823766605016286, 0.1810173696218758), 'mode_bucket': ((12, 11), 97066), 'avg_bucket': (7, 7)}
{'path': '410.jpg', 'num': 410, 'avg': (0.28049767837868045, 0.31473431837997956, 0.13994218281897045), 'mode_bucket': ((0, 0), 268285), 'avg_bucket': (4, 4)}
{'path': '294.jpg', 'num': 294, 'avg': (0.554709799414513, 0.25001245470620703, 0.6675251055259886), 'mode_bucket': ((12, 12), 102936), 'avg_bucket': (7, 4)}
{'path': '894.jpg', 'num': 894, 'avg': (0.4384701697417014, 0.4195717014381949, 0.20350582214129076), 'mode_bucket': ((0, 0), 217211), 'avg_bucket': (6, 6)}
{'path': '470.jpg', 'num': 470, 'avg': (0.6374911361148657, 0.2586925280742517, 0.33384828388794674), 'mode_bucket': ((10, 2), 34294), 'avg_bucket': (8, 4)}
{'path': '730.jpg', 'num': 730, 'avg': (0.5119136422196223, 0.43680814109860094, 0.13802994472581792), 'mode_bucket': ((8, 7), 124792), 'avg_bucket': (7, 6)}
{'path': '226.jpg', 'num': 226, 'avg': (0.651626952949586, 0.2825375325266369, 0.0991525660832073), 'mode_bucket': ((8, 3), 336044), 'avg_bucket': (8, 4)}
{'path': '618.jpg', 'num': 618, 'avg': (0.3603913799362038, 0.3179645302908326, 0.1700461260895867), 'mode_bucket': ((2, 4), 52090), 'avg_bucket': (5, 4)}
{'path': '1362.jpg', 'num': 1362, 'avg': (0.1055740374373935, 0.9289185807137208, 0.13765188312768253), 'mode_bucket': ((1, 12), 433936), 'avg_bucket': (2, 12)}
{'path': '686.jpg', 'num': 686, 'avg': (0.46366279356635776, 0.2986985432415144, 0.21766882403928006), 'mode_bucket': ((8, 4), 90848), 'avg_bucket': (6, 4)}
{'path': '1114.jpg', 'num': 1114, 'avg': (0.42983209765725194, 0.5878603819811415, 0.18738267952591892), 'mode_bucket': ((12, 12), 91318), 'avg_bucket': (6, 8)}
{'path': '694.jpg', 'num': 694, 'avg': (0.4580606129686729, 0.24181008753871364, 0.23736205788648507), 'mode_bucket': ((5, 3), 87051), 'avg_bucket': (6, 3)}
{'path': '1654.jpg', 'num': 1654, 'avg': (0.01518935080868393, 0.02000068559048047, 0.011289365681169509), 'mode_bucket': ((0, 0), 709288), 'avg_bucket': (1, 1)}
{'path': '1626.jpg', 'num': 1626, 'avg': (0.2645873993385989, 0.16999738703710982, 0.48291691665866426), 'mode_bucket': ((2, 1), 105835), 'avg_bucket': (4, 3)}
{'path': '858.jpg', 'num': 858, 'avg': (0.29952316214320857, 0.553887037372847, 0.07678117340655996), 'mode_bucket': ((2, 12), 268674), 'avg_bucket': (4, 7)}
{'path': '926.jpg', 'num': 926, 'avg': (0.5615300232705208, 0.2741645865952968, 0.3581752057381003), 'mode_bucket': ((8, 5), 73149), 'avg_bucket': (7, 4)}
{'path': '358.jpg', 'num': 358, 'avg': (0.5946701683295316, 0.2726081092046242, 0.4847611304722389), 'mode_bucket': ((6, 2), 63887), 'avg_bucket': (8, 4)}
{'path': '1522.jpg', 'num': 1522, 'avg': (0.6703535086847657, 0.974402329935727, 0.42367529509655355), 'mode_bucket': ((8, 12), 445689), 'avg_bucket': (9, 12)}
{'path': '202.jpg', 'num': 202, 'avg': (0.24883456391275022, 0.23911256891041396, 0.3680544598457615), 'mode_bucket': ((7, 2), 105827), 'avg_bucket': (3, 3)}
{'path': '1118.jpg', 'num': 1118, 'avg': (0.002740216011351727, 0.0019362556047936546, 0.0017926676964185719), 'mode_bucket': ((0, 0), 733980), 'avg_bucket': (1, 1)}
{'path': '1422.jpg', 'num': 1422, 'avg': (0.17918540327657517, 0.22333102717820927, 0.006752493532131889), 'mode_bucket': ((0, 0), 531925), 'avg_bucket': (3, 3)}
{'path': '1318.jpg', 'num': 1318, 'avg': (0.5148147796390372, 0.8734226309814324, 0.14520874289374625), 'mode_bucket': ((8, 12), 194090), 'avg_bucket': (7, 11)}
{'path': '1342.jpg', 'num': 1342, 'avg': (0.49754549399645986, 0.43311571531257403, 0.24225720507331677), 'mode_bucket': ((12, 12), 66460), 'avg_bucket': (6, 6)}
{'path': '514.jpg', 'num': 514, 'avg': (0.6018009163297078, 0.23627839731771022, 0.30080797249440705), 'mode_bucket': ((12, 2), 45304), 'avg_bucket': (8, 3)}
{'path': '622.jpg', 'num': 622, 'avg': (0.44573984118131155, 0.26209073019900303, 0.09760464537409783), 'mode_bucket': ((2, 3), 202904), 'avg_bucket': (6, 4)}
{'path': '654.jpg', 'num': 654, 'avg': (0.34142198146878044, 0.22691222247897885, 0.4431349251943546), 'mode_bucket': ((2, 2), 92809), 'avg_bucket': (5, 3)}
{'path': '1334.jpg', 'num': 1334, 'avg': (0.3448718674919383, 0.7634540889171624, 0.17094695180566274), 'mode_bucket': ((0, 12), 172719), 'avg_bucket': (5, 10)}
{'path': '1186.jpg', 'num': 1186, 'avg': (0.5539815928234494, 0.30532122052897775, 0.33286710452387375), 'mode_bucket': ((8, 2), 75712), 'avg_bucket': (7, 4)}
{'path': '718.jpg', 'num': 718, 'avg': (0.3078257338750773, 0.44039809934796414, 0.19518156828732133), 'mode_bucket': ((2, 9), 42261), 'avg_bucket': (4, 6)}
{'path': '90.jpg', 'num': 90, 'avg': (0.20119487079440682, 0.285570932152679, 0.35351634837916557), 'mode_bucket': ((2, 3), 90933), 'avg_bucket': (3, 4)}
{'path': '438.jpg', 'num': 438, 'avg': (0.4664434060583794, 0.4169321333150729, 0.11211426845127216), 'mode_bucket': ((5, 4), 128273), 'avg_bucket': (6, 6)}
